Category,Item,Price,Description
Entrées 🍴,Gheymeh (Chicken) Stew,12.99,"Chunks of chicken breast, yellow split peas, potato, tomato sauce & rice."
Entrées 🍴,Ghormeh Sabzi (Beef) Stew,13.99,"Chunks of beef, beans, chopped parsley, onion, cilantro, spinach & rice."
Entrées 🍴,Chicken Soltani Combo,17.99,"One skewer of beef kabob & chicken breast kabob. Served with Persian rice,
                                        grilled tomato, bell pepper & onion."
Entrées 🍴,Beef Soltani,19.99,"One skewer of ground beef kabob & chunks of Ribeye beef kabob. Served with
                                        Persian rice, grilled tomato, bell pepper & onion."
Entrées 🍴,Chicken-Beef Filet Combo,17.99,"Filets of beef and chicken kabob. Served with Persian rice, grilled tomato, bell
                                        peppers & onion."
Entrées 🍴,Lamb & Beef Chunk Filet Kabob,18.99,"Half portion of lamb chunk, beef sirlion, served with Persian rice, grilled
                                        tomato, onion & bell pepper."
Entrées 🍴,Everything Combo,20.99,"Chicken breast filet, filet kabob and one skewer of ground beef. Served with
                                        rice, grilled tomato, bell pepper & onion."
Seafood 🐟,Tilapia Over Rice,15.99,"Sautéed with olive oil and veggies, served with special sweet chili sauce &
                                        rice."
Seafood 🐟,Salmon Kabob,17.99,"Served with Persian rice, grilled tomato, bell pepper, zuccini, squash &
                                        onion."
Seafood 🐟,Catfish Over Rice,15.99,"Served with sautéed veggies, served with special sweet chili sauce & Persian
                                        rice."
Gyro Wraps 🌯,Chicken Gyro,6.99,"Slices of chicken breast, wrapped in pita bread. Served with lettuce tomato,
                                        pickle & house garlic sauce."
Gyro Wraps 🌯,Lamb Gyro Wrap,6.99,"Slices of succulent lamb gyro, wrapped in pita bread served with tomato, pickle,
                                        and house sauce."
Gyro Wraps 🌯,Beef Kabob Gyro,6.99,"One skewer of ground beef kabob, wrapped in pita bread. Served with lettuce
                                        tomato, pickle & house garlic sauce."
Gyro Wraps 🌯,Falafel Gyro,6.99,"Fried grounded chick peas, wrapped in pita bread. Served with lettuce tomato,
                                        pickle & house garlic sauce."
Vegetarian 🥒,Vegetarian Lentil Soup,4.99,"Fresh homemade brown lentils with onions, parsley, garlic."
Vegetarian 🥒,Veggie Kabob,13.99,"Slices of grilled yellow squash, zuccini, tomato, onion, bell pepper. Served with
                                        Persian rice & garlic sauce."
Vegetarian 🥒,Falafel Plate,13.99,"Three fried grounded chick peas, served with hummus, Persian rice, lettuce,
                                        tomato & pita bread."
Vegetarian 🥒,Veggie Plate,13.99,"Hummus, eggplant dip, 3 grape leaves, served with Persian rice, & pita bread."
Kid's Menu 🍟,Kid's Chicken Koobideh,7.99,"1 skewer of ground chicken koobideh kabob served with Persian rice & grilled
                                        tomato."
Kid's Menu 🍟,Kid's Beef Kabob,7.99,"One skewer of seasoned, juicy ground beef kabob. Served with Persian rice and
                                        grilled tomatoes."
Kid's Menu 🍟,Kid's Chicken Kabob,7.99,"Juicy chicken served with Persian rice, grilled onion, bell pepper & tomato."
Kid's Menu 🍟,Chicken Nuggets,5.50,"Three nuggets, served with french fries."
Kid's Menu 🍟,Small Fries,4.99,
Kid's Menu 🍟,Large Fries,5.99,
Fresh Sides  🥗,Shiraz Salad,3.49,"Diced cucumber, tomato, onion, crushed mint, olive oil & fresh lemon juice."
Fresh Sides  🥗,Tabouli,3.49,"Chopped parsley, onion, tomato, olive oil & fresh lemon juice."
Fresh Sides  🥗,House Salad,5.99,"Iceberg lettuce, slice of tomato with cucumber, topped with fetta cheese with
                                        olive oil & lemon juice dressing."
Fresh Sides  🥗,Yogurt with Cucumber Mint,3.49,Creamy homemade yogurt with diced cucumber & crushed mint.
Fresh Sides  🥗,Side of Rice,3.99,
Fresh Sides  🥗,Side of Pita,.99,
Fresh Sides  🥗,Zeresh or Dill,1.99,
Dessert 🍪,Baklava,1.75,"Delicious, sweet, traditional dessert to finish your meal."
Buy in bulk 🤩,Falafel,2.50,By the piece.
Buy in bulk 🤩,Lamb Gyro Meat,22.99,By the pound.
Buy in bulk 🤩,Chicken Kabob,22.99,By the pound.
Buy in bulk 🤩,Garlic Sauce,12.00,By the pound.
